Supplier L Pricing For 4/20/2026,,,
Description,Variant Code,Price,Brand
ANISE 18,,44,ANDY BOY
,BP,44,ANDY BOY
APPLE COSMIC CRISP EURO 50,,55,COSMIC CRISP
APPLE GOLDEN BLUSH 36 8KG,,28,LA TRENTINA
,B LOT,28,LA TRENTINA
APPLE GRANNY 72,,66,GENERIC
APPLE GRANNY 80,,66,CHENAIL
,,,GENERIC
APPLE ROYAL GALA 80,,85,CMI
,,,REMBRANDT
,BP,85,BAYGROWERS
ARTICHOKE 18,,57,OCEAN MIST
ARTICHOKE 24,,57,OCEAN MIST
,BP,57,OCEAN MIST
ARTICHOKE JERUSALEM ,,45,DEN BOER
,,,GENERIC
ARTICHOKE LOOSE 40 LB,,100,OCEAN MIST
ARTICHOKE PURPLE 18,,57,OCEAN MIST
ASPARAGUS 11 LB LARGE,,76,PEACOCK
ASPARAGUS 11 LB STANDARD,,74,PEACOCK
,,,PRIME TIME
ASPARAGUS WHITE,,89,GENERIC
ATEMOYA 4KG,,40,FG
,,,HMV
AVOCADO 16,,18,FLAVACADO
,,,FLAVOCADO
AVOCADO 32,,49,FLAVOCADO
AVOCADO 48,,54,FLAVACADO
,,,FLAVOCADO
,,,GENERIC
AVOCADO 5-14-BAG,,48,FLAVACADO
,,,FLAVOCADO
,MEXICO,42,AVO VALUE
AVOCADO 60,,50,FLAVOCADO
,,,GENERIC
,MEXICO,46,AVO VALUE
AVOCADO 6-14-BAG,,46,GENERIC
BANANA #1,,32,DOLE
,,,GENERIC
,FYFFES,30,FYFFES
BANANA #1 NO GAS,,32,DOLE
BANANA BABY,,27,DOLE
BANANA MANZANO,,32,FYFFES
BANANA PLANTAIN,,62,DOLE
,RECLAM,30,DEL MONTE
BANANA RED,,28,DOLE
BASIL 12,,11,J.D. FRESH HERBS
BEAN FAVA,,100,SWEET SEASONS
BEAN FRENCH 680G,,46,UNIESPECIES
BEAN FRENCH GREEN,,52,CARROUSEL
,,,PURE FRESH
,,,SERENA
,,,UNIESPECIES
BEAN GREEN H.P.,,52,5 BROTHERS
BEAN GREEN M.P. ,,10,RED BARN
BEAN GREEN MEXICAN H.P.,,10,CARROUSEL
BEAN RUNNER,,45,KAMPO
BEAN YELLOW HP 15 LB,,55,5 BROTHERS
BEET BUNCH 12CT,,20,JJ LOOP
BEET BUNCH 24CT,,64,LITTLE BEAR
BLACKBERRY 6OZ,GREEN DOLE,30,DOLE
,GREEN DRIS,24,DRISCOLL'S
,RECLAM,8,DRISCOLL'S
,RED DRIS,24,DRISCOLL'S
,SPECIAL,8,DRISCOLL'S
BLUEBERRY 1/2 PT,P GREEN,44,BEAUTIES
,,,LADY B
,SPECIAL,12,BEAUTIES
BROCCOLI 14,HARVSTHOLD,68,MARTORI
BROCCOLI 18,ANDY BOY,78,ANDY BOY
,HARVSTHOLD,72,MARTORI
,SPECIAL,34,MARTORI
BROCCOLI CROWN,,52,GENERIC
,,,MR. LUCKY
,MEXICO,32,GENERIC
,SPECIAL,12,MR. LUCKY
BROCCOLINI,,46,ANDY BOY
BRUSSEL SPROUTS ICED,,56,ALTAR
,,,PINOS
,A SIZE,40,CIRCLE
,SPECIAL,26,CIRCLE
CABBAGE GREEN 16,LOCAL,23,CAULI ONE
CABBAGE GREEN FLAT,,64,MANLEY
CABBAGE RED 12,LOCAL,28,CAULI ONE
CABBAGE RED 16,LOCAL,30,CAULI ONE
CABBAGE SAVOY 12,LOCAL,30,CAULI ONE
CABBAGE SAVOY 16,LOCAL,30,CAULI ONE
CACAO 4KG,,40,GENERIC
CANTALOUPE 12,,33,SOL
CANTALOUPE 9 JBO,,32,SOL
CARDONE,,90,JOE'S
CARROT 16X3,,27,GENERIC
CARROT BABY PEELED 12X1LB,,80,CARROUSEL
CARROT BUNCH,,50,GRIMMWAY
CASSAVA 35LBS,,48,GENERIC
CAULIFLOWER 12,,60,ANDY BOY
,,,OCEAN MIST
,MEXICO,56,CARROUSEL
CAULIFLOWER 9,,55,ANDY BOY
,,,OCEAN MIST
,MEXICO,55,CARROUSEL
,SPECIAL,34,ANDY BOY
,,,CARROUSEL
,,,OCEAN MIST
CAULIFLOWER GREEN,,55,NATURES REWARD
CAULIFLOWER ORANGE,,65,NATURES REWARD
CAULIFLOWER PURPLE,,65,NATURES REWARD
CAULIFLOWER ROMANESCO,,65,NATURES REWARD
CELERY 24,,68,DOLE
,,,OCEAN MIST
,MEXICAN,55,GENERIC
,,,MR. LUCKY
,OM,12,OCEAN MIST
,SPECIAL,18,OCEAN MIST
CELERY 30,,40,BONIPAK
,MEXICAN,60,GENERIC
CELERY HEART 18X2,,36,OCEAN MIST
CELERY ROOT,,18,DEN BOER
,,,GENERIC
CHESTNUT SNACK 16X200G,,90,MARCHESE
CHIVES,,13,BONCHEFF
CILANTRO 24CT W/ROOTS,,28,JJ LOOP
CILANTRO 60CT W/ ROOTS,,54,JJ LOOP
,,,LITTLE BEAR
CLEMENTINE OR 16KG SIZE 2 NP,,20,GRANOT
,,,MEHADRIN
CLEMENTINE OR 16KG SIZE 3 NP,,20,GRANOT
,,,MEHADRIN
,,,SHOHAM
,B LOT,20,MEHADRIN
,,,SHOHAM
CLEMENTINE OR 16KG SIZE2 NP-II,,20,MEHADRIN
,,,SHOHAM
,B LOT,20,MEHADRIN
,,,SHOHAM
CLEMENTINE OR 16KG SIZE3 NP-II,,20,MEHADRIN
,,,SHOHAM
,B LOT,20,SHOHAM
CLEMENTINE OR 2.3 KG SIZE 20,,10,MEHADRIN
CLEMENTINE OR 8 KG SIZE 40,,40,SHOHAM
,TISSUE,40,SHOHAM
CLEMENTINE S&L POUCH S.2/3,SPECIAL,50,BOLLO
,,,LA KENZIE
CLEMENTINE STEM&LEAF 7K S.1,,37,BOLLO
,,,LA KENZIE
,B LOT,37,BOLLO
,,,LA KENZIE
