Supplier L Pricing For 4/21/2026,,,
Description,Variant Code,Price,Brand
ANISE 18,,44,ANDY BOY
APPLE COSMIC CRISP EURO 50,,55,COSMIC CRISP
APPLE GOLDEN BLUSH 36 8KG,,28,LA TRENTINA
APPLE GRANNY 80,,66,CHENAIL
APPLE PINK LADY 80,,64,CMI
APPLE RED DEL 80,,58,REMBRANDT
,BP,58,VINELAND
APPLE ROYAL GALA 80,,90,CMI
,,,REMBRANDT
,BP,90,BAYGROWERS
APPLE TESSA 80/88,,55,TESSA
ARTICHOKE 18,,57,OCEAN MIST
ARTICHOKE 24,,57,OCEAN MIST
ARTICHOKE JERUSALEM ,,45,DEN BOER
,,,GENERIC
ARTICHOKE LOOSE 40 LB,,100,OCEAN MIST
ARTICHOKE PURPLE 18,,57,OCEAN MIST
ASPARAGUS 11 LB LARGE,,76,PEACOCK
ASPARAGUS 11 LB STANDARD,,74,PEACOCK
,,,PRIME TIME
ASPARAGUS WHITE,,89,GENERIC
ASSORTED HERB - 6 PACK,,11,J.D. FRESH HERBS
ATEMOYA 4KG,,40,FG
,,,HMV
AVOCADO 16,,18,FLAVACADO
,,,FLAVOCADO
AVOCADO 32,,49,FLAVOCADO
AVOCADO 48,,54,FLAVACADO
,,,FLAVOCADO
,,,GENERIC
AVOCADO 5-14-BAG,,48,FLAVACADO
,,,FLAVOCADO
,MEXICO,42,AVO VALUE
AVOCADO 60,MEXICO,46,AVO VALUE
AVOCADO 6-14-BAG,,46,GENERIC
BANANA #1,,32,DOLE
,,,GENERIC
,FYFFES,30,FYFFES
BANANA #1 NO GAS,,32,DOLE
BANANA BABY,,27,DOLE
BANANA MANZANO,,32,FYFFES
BANANA PLANTAIN,,62,DOLE
BANANA RED,,28,DOLE
BASIL 12,,11,BONCHEFF
,,,J.D. FRESH HERBS
BEAN FAVA,,100,SWEET SEASONS
BEAN FRENCH 680G,,46,PURE FRESH
BEAN FRENCH GREEN,,52,CARROUSEL
,,,PURE FRESH
,,,SERENA
,,,UNIESPECIES
BEAN GREEN H.P.,,55,5 BROTHERS
,SPECIAL,55,5 BROTHERS
BEAN GREEN MEXICAN H.P.,,45,CARROUSEL
BEAN RUNNER,,45,KAMPO
BEAN YELLOW HP 15 LB,,58,5 BROTHERS
BEET BUNCH 12CT,,20,JJ LOOP
BEET BUNCH 24CT,,64,LITTLE BEAR
BLACKBERRY 6OZ,GREEN DOLE,30,DOLE
,GREEN DRIS,24,DRISCOLL'S
,P GREEN,12,MAINLAND
,RED DRIS,24,DRISCOLL'S
BLUEBERRY 1/2 PT,GREEN MEX,38,OZ BLU
,P GREEN,44,BEAUTIES
,,,LADY B
,SPECIAL,12,BEAUTIES
BROCCOLI 14,HARVSTHOLD,48,MARTORI
BROCCOLI 18,ANDY BOY,78,ANDY BOY
,HARVSTHOLD,48,MARTORI
,SPECIAL,20,MARTORI
BROCCOLI CROWN,,52,GENERIC
,,,MR. LUCKY
,MEXICO,12,GENERIC
,SPECIAL,12,MR. LUCKY
BROCCOLINI,,46,ANDY BOY
BRUSSEL SPROUTS ICED,,56,ALTAR
,,,PINOS
,SPECIAL,26,CIRCLE
CABBAGE GREEN 16,,23,CAULI ONE
,LOCAL,23,CAULI ONE
CABBAGE GREEN FLAT,,64,MANLEY
CABBAGE RED 12,LOCAL,28,CAULI ONE
CABBAGE RED 16,,30,CAULI ONE
,LOCAL,30,CAULI ONE
CABBAGE SAVOY 12,LOCAL,30,CAULI ONE
